muestra,comp1,comp2,correct_key,relacion,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,intro1.started,intro1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,introduccion2.started,introduccion2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,flechas.keys,flechas.corr,flechas.rt,flechas.started,flechas.stopped,crux.started,crux.stopped,text_3.started,text_3.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,flechas_3.keys,flechas_3.corr,flechas_3.started,flechas_3.stopped,crux_3.started,crux_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,8.135050099999717,None,space,1.142470400000093,8.135050099999717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
,,,,,,,,,,,,,,,,,,,9.293363999999201,None,space,0.6958443000003172,9.293363999999201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
,,,,,,,,,,,,,,,,,,,,,,,,,10.025790400000915,None,space,0.5704486000013276,10.025790400000915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B1.png,B2.png,left,A-B,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,11.676582500000222,None,11.676582500000222,None,11.676582500000222,None,left,1,0.8805955999996513,11.676582500000222,None,10.64953389999937,11.676582500000222,12.593034199999238,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B1.png,B2.png,right,A-B,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,15.103849600000103,None,15.103849600000103,None,15.103849600000103,None,right,1,0.7731728999988263,15.103849600000103,None,14.104612799999813,15.103849600000103,15.903249200000573,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B2.png,B1.png,left,A-B,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,18.417740400000184,None,18.417740400000184,None,18.417740400000184,None,left,1,0.8232065999982296,18.417740400000184,None,17.41814499999964,18.417740400000184,19.266577399999733,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B2.png,B1.png,right,A-B,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,21.78101389999938,None,21.78101389999938,None,21.78101389999938,None,right,1,1.0155741999988095,21.78101389999938,None,20.781382600000143,21.78101389999938,22.813038500000403,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B2.png,B1.png,left,A-B,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,,25.32755460000044,None,25.32755460000044,None,25.32755460000044,None,left,1,0.614650999999867,25.32755460000044,None,24.329410300000745,25.32755460000044,25.959667299999637,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B1.png,B2.png,left,A-B,1,1,5,0,,,,,,,,,,,,,,,,,,,,,,,28.474414599999363,None,28.474414599999363,None,28.474414599999363,None,left,1,1.0295279000001756,28.474414599999363,None,27.47776479999993,28.474414599999363,29.523262200000318,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B1.png,B2.png,right,A-B,1,2,6,1,,,,,,,,,,,,,,,,,,,,,,,32.03772779999963,None,32.03772779999963,None,32.03772779999963,None,right,1,0.6731941999987612,32.03772779999963,None,31.038205000000744,32.03772779999963,32.73681249999936,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B2.png,B1.png,right,A-B,1,3,7,2,,,,,,,,,,,,,,,,,,,,,,,35.25108999999975,None,35.25108999999975,None,35.25108999999975,None,right,1,0.7872812999994494,35.25108999999975,None,34.25151619999997,35.25108999999975,36.066856199999165,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B1.png,B2.png,right,A-B,2,0,8,1,,,,,,,,,,,,,,,,,,,,,,,38.58126980000088,None,38.58126980000088,None,38.58126980000088,None,right,1,0.8082250999996177,38.58126980000088,None,37.58189859999948,38.58126980000088,39.41319180000028,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B2.png,B1.png,right,A-B,2,1,9,2,,,,,,,,,,,,,,,,,,,,,,,41.92758739999954,None,41.92758739999954,None,41.92758739999954,None,right,1,0.6627755999998044,41.92758739999954,None,40.92846280000049,41.92758739999954,42.610445000000254,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B1.png,B2.png,left,A-B,2,2,10,0,,,,,,,,,,,,,,,,,,,,,,,45.12485969999943,None,45.12485969999943,None,45.12485969999943,None,left,1,0.9207937999999558,45.12485969999943,None,44.12532099999953,45.12485969999943,46.07372840000062,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B2.png,B1.png,left,A-B,2,3,11,3,,,,,,,,,,,,,,,,,,,,,,,48.58820460000061,None,48.58820460000061,None,48.58820460000061,None,left,1,0.7975568000001658,48.58820460000061,None,47.58847969999988,48.58820460000061,49.40341040000021,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B2.png,B1.png,left,A-B,3,0,12,3,,,,,,,,,,,,,,,,,,,,,,,51.91819209999994,None,51.91819209999994,None,51.91819209999994,None,left,1,0.7851197999989381,51.91819209999994,None,50.91945549999946,51.91819209999994,52.73384930000066,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A2.png,B1.png,B2.png,right,A-B,3,1,13,1,,,,,,,,,,,,,,,,,,,,,,,55.24787699999979,None,55.24787699999979,None,55.24787699999979,None,right,1,0.6147111000009318,55.24787699999979,None,54.251866299999165,55.24787699999979,55.88069220000034,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B1.png,B2.png,left,A-B,3,2,14,0,,,,,,,,,,,,,,,,,,,,,,,58.39517689999957,None,58.39517689999957,None,58.39517689999957,None,left,1,0.911673200000223,58.39517689999957,None,57.39553250000063,58.39517689999957,59.32695690000037,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B2.png,B1.png,right,A-B,3,3,15,2,,,,,,,,,,,,,,,,,,,,,,,61.84138259999963,None,61.84138259999963,None,61.84138259999963,None,right,1,0.9349039999997331,61.84138259999963,None,60.8425098000007,61.84138259999963,62.8073516000004,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
A1.png,B2.png,B1.png,right,A-B,4,0,16,2,,,,,,,,,,,,,,,,,,,,,,,65.32174250000025,None,65.32174250000025,None,65.32174250000025,None,right,1,0.9109085999989475,65.32174250000025,None,64.32434409999951,65.32174250000025,66.25360580000051,None,,,,,,,,,,,,,,001,2021_Aug_03_1909,tesis,2021.1.4,60.066373342943166,
